query_id,query,expected_doc_ids,retrieved_doc_ids,hit_at_1,hit_at_k,failure_mode,method
q-001,What does AX4-E117 mean?,product_atlas_gateway,product_atlas_gateway|pricing_gateway|spec_storage,1,1,keyword_exact_match,bge_m3_dense_only
q-001,What does AX4-E117 mean?,product_atlas_gateway,product_atlas_gateway|pricing_gateway|operations_release_rollback,1,1,keyword_exact_match,bge_m3_sparse_only
q-001,What does AX4-E117 mean?,product_atlas_gateway,product_atlas_gateway|pricing_gateway|operations_release_rollback,1,1,keyword_exact_match,rrf_dense_bge_m3_sparse
q-001,What does AX4-E117 mean?,product_atlas_gateway,product_atlas_gateway|pricing_gateway|spec_storage,1,1,keyword_exact_match,relative_score_dense_bge_m3_sparse
q-002,How do I fix the Nimbus optical drift alert?,product_nimbus_sensor,product_nimbus_sensor|product_orion_switch|spec_sensor,1,1,semantic_paraphrase,bge_m3_dense_only
q-002,How do I fix the Nimbus optical drift alert?,product_nimbus_sensor,product_nimbus_sensor|spec_sensor|operations_release_rollback,1,1,semantic_paraphrase,bge_m3_sparse_only
q-002,How do I fix the Nimbus optical drift alert?,product_nimbus_sensor,product_nimbus_sensor|spec_sensor|operations_release_rollback,1,1,semantic_paraphrase,rrf_dense_bge_m3_sparse
q-002,How do I fix the Nimbus optical drift alert?,product_nimbus_sensor,product_nimbus_sensor|spec_sensor|product_orion_switch,1,1,semantic_paraphrase,relative_score_dense_bge_m3_sparse
q-003,What does alert HRD-9C03 indicate on the Helios Reader?,product_helios_reader,product_helios_reader|operations_support_triage|product_atlas_gateway,1,1,keyword_exact_match,bge_m3_dense_only
q-003,What does alert HRD-9C03 indicate on the Helios Reader?,product_helios_reader,product_helios_reader|product_nimbus_sensor|pricing_gateway,1,1,keyword_exact_match,bge_m3_sparse_only
q-003,What does alert HRD-9C03 indicate on the Helios Reader?,product_helios_reader,product_helios_reader|product_nimbus_sensor|product_atlas_gateway,1,1,keyword_exact_match,rrf_dense_bge_m3_sparse
q-003,What does alert HRD-9C03 indicate on the Helios Reader?,product_helios_reader,product_helios_reader|product_nimbus_sensor|product_atlas_gateway,1,1,keyword_exact_match,relative_score_dense_bge_m3_sparse
q-004,"Which change ticket class is used to roll out the Orion Switch duplex negotiation fix, and why was the issue easy to overlook?",product_orion_switch,product_orion_switch|policy_change_control|pricing_gateway,1,1,long_context,bge_m3_dense_only
q-004,"Which change ticket class is used to roll out the Orion Switch duplex negotiation fix, and why was the issue easy to overlook?",product_orion_switch,product_orion_switch|policy_change_control|policy_data_retention,1,1,long_context,bge_m3_sparse_only
q-004,"Which change ticket class is used to roll out the Orion Switch duplex negotiation fix, and why was the issue easy to overlook?",product_orion_switch,product_orion_switch|policy_change_control|operations_certificate_rotation,1,1,long_context,rrf_dense_bge_m3_sparse
q-004,"Which change ticket class is used to roll out the Orion Switch duplex negotiation fix, and why was the issue easy to overlook?",product_orion_switch,product_orion_switch|policy_change_control|operations_certificate_rotation,1,1,long_context,relative_score_dense_bge_m3_sparse
q-005,How many independent approvals does clause CC-17 require for a production change?,policy_change_control,policy_change_control|policy_access_review|policy_incident_severity,1,1,keyword_exact_match,bge_m3_dense_only
q-005,How many independent approvals does clause CC-17 require for a production change?,policy_change_control,policy_change_control|policy_incident_severity|product_orion_switch,1,1,keyword_exact_match,bge_m3_sparse_only
q-005,How many independent approvals does clause CC-17 require for a production change?,policy_change_control,policy_change_control|policy_incident_severity|product_orion_switch,1,1,keyword_exact_match,rrf_dense_bge_m3_sparse
q-005,How many independent approvals does clause CC-17 require for a production change?,policy_change_control,policy_change_control|policy_incident_severity|policy_access_review,1,1,keyword_exact_match,relative_score_dense_bge_m3_sparse
q-006,How long must customer support attachments be retained under clause DR-44?,policy_data_retention,policy_data_retention|spec_storage|policy_change_control,1,1,keyword_exact_match,bge_m3_dense_only
q-006,How long must customer support attachments be retained under clause DR-44?,policy_data_retention,policy_data_retention|spec_storage|pricing_gateway,1,1,keyword_exact_match,bge_m3_sparse_only
q-006,How long must customer support attachments be retained under clause DR-44?,policy_data_retention,policy_data_retention|spec_storage|policy_change_control,1,1,keyword_exact_match,rrf_dense_bge_m3_sparse
q-006,How long must customer support attachments be retained under clause DR-44?,policy_data_retention,policy_data_retention|spec_storage|policy_change_control,1,1,keyword_exact_match,relative_score_dense_bge_m3_sparse
q-007,What does clause AR-12 require for privileged accounts?,policy_access_review,policy_access_review|policy_change_control|policy_incident_severity,1,1,keyword_exact_match,bge_m3_dense_only
q-007,What does clause AR-12 require for privileged accounts?,policy_access_review,policy_access_review|operations_certificate_rotation|spec_storage,1,1,keyword_exact_match,bge_m3_sparse_only
q-007,What does clause AR-12 require for privileged accounts?,policy_access_review,policy_access_review|spec_storage|operations_certificate_rotation,1,1,keyword_exact_match,rrf_dense_bge_m3_sparse
q-007,What does clause AR-12 require for privileged accounts?,policy_access_review,policy_access_review|policy_change_control|spec_storage,1,1,keyword_exact_match,relative_score_dense_bge_m3_sparse
q-008,Which ticket prefix must be used for P1 incidents?,policy_incident_severity,policy_incident_severity|operations_certificate_rotation|pricing_support,1,1,keyword_exact_match,bge_m3_dense_only
q-008,Which ticket prefix must be used for P1 incidents?,policy_incident_severity,policy_incident_severity|pricing_support|product_orion_switch,1,1,keyword_exact_match,bge_m3_sparse_only
q-008,Which ticket prefix must be used for P1 incidents?,policy_incident_severity,policy_incident_severity|pricing_support|policy_change_control,1,1,keyword_exact_match,rrf_dense_bge_m3_sparse
q-008,Which ticket prefix must be used for P1 incidents?,policy_incident_severity,policy_incident_severity|pricing_support|product_orion_switch,1,1,keyword_exact_match,relative_score_dense_bge_m3_sparse
q-009,What is another name for certificate rollover in the operations runbooks?,operations_certificate_rotation,operations_certificate_rotation|operations_release_rollback|policy_change_control,1,1,semantic_paraphrase,bge_m3_dense_only
q-009,What is another name for certificate rollover in the operations runbooks?,operations_certificate_rotation,operations_certificate_rotation|operations_release_rollback|operations_support_triage,1,1,semantic_paraphrase,bge_m3_sparse_only
q-009,What is another name for certificate rollover in the operations runbooks?,operations_certificate_rotation,operations_certificate_rotation|operations_release_rollback|operations_support_triage,1,1,semantic_paraphrase,rrf_dense_bge_m3_sparse
q-009,What is another name for certificate rollover in the operations runbooks?,operations_certificate_rotation,operations_certificate_rotation|operations_release_rollback|policy_change_control,1,1,semantic_paraphrase,relative_score_dense_bge_m3_sparse
q-010,"After comparing collector queue depth and source timestamps, what distinguishes an ingestion delay from event loss?",operations_telemetry_gap,operations_telemetry_gap|operations_support_triage|policy_incident_severity,1,1,long_context,bge_m3_dense_only
