query_id,query,expected_doc_ids,retrieved_doc_ids,hit_at_1,hit_at_k,failure_mode,method
q-001,What record contains identifier AX4-0001?,product_0001_ax4-0001,operations_0141_ax4-0141|operations_0145_ax4-0145|specification_0200_ax4-0200,0,0,keyword_exact_match,dense_only
q-001,What record contains identifier AX4-0001?,product_0001_ax4-0001,product_0001_ax4-0001|product_0179_ors-0179|product_0010_nsn-0010,1,1,keyword_exact_match,bm25_only
q-001,What record contains identifier AX4-0001?,product_0001_ax4-0001,product_0001_ax4-0001|product_0035_ax4-0035|product_0153_ax4-0153,1,1,keyword_exact_match,rrf_dense_bm25
q-001,What record contains identifier AX4-0001?,product_0001_ax4-0001,product_0001_ax4-0001|operations_0141_ax4-0141|operations_0145_ax4-0145,1,1,keyword_exact_match,relative_score_dense_bm25
q-002,Which specification document covers secondary node promotion for Nimbus Sensor in the apac region?,specification_0002_nsn-0002,operations_0062_nsn-0062|specification_0046_nsn-0046|product_0129_nsn-0129,0,0,semantic_paraphrase,dense_only
q-002,Which specification document covers secondary node promotion for Nimbus Sensor in the apac region?,specification_0002_nsn-0002,product_0143_nsn-0143|product_0034_nsn-0034|operations_0062_nsn-0062,0,0,semantic_paraphrase,bm25_only
q-002,Which specification document covers secondary node promotion for Nimbus Sensor in the apac region?,specification_0002_nsn-0002,operations_0062_nsn-0062|specification_0046_nsn-0046|product_0008_nsn-0008,0,0,semantic_paraphrase,rrf_dense_bm25
q-002,Which specification document covers secondary node promotion for Nimbus Sensor in the apac region?,specification_0002_nsn-0002,product_0143_nsn-0143|operations_0062_nsn-0062|specification_0046_nsn-0046,0,0,semantic_paraphrase,relative_score_dense_bm25
q-003,"According to the operations documentation for Atlas Gateway (Record 0003), what is the required data retention period in cold storage?",operations_0003_ax4-0003,product_0059_ax4-0059|product_0001_ax4-0001|product_0130_ax4-0130,0,0,long_context,dense_only
q-003,"According to the operations documentation for Atlas Gateway (Record 0003), what is the required data retention period in cold storage?",operations_0003_ax4-0003,operations_0003_ax4-0003|product_0059_ax4-0059|operations_0168_ax4-0168,1,1,long_context,bm25_only
q-003,"According to the operations documentation for Atlas Gateway (Record 0003), what is the required data retention period in cold storage?",operations_0003_ax4-0003,product_0059_ax4-0059|operations_0003_ax4-0003|operations_0145_ax4-0145,0,1,long_context,rrf_dense_bm25
q-003,"According to the operations documentation for Atlas Gateway (Record 0003), what is the required data retention period in cold storage?",operations_0003_ax4-0003,operations_0003_ax4-0003|product_0059_ax4-0059|product_0001_ax4-0001,1,1,long_context,relative_score_dense_bm25
q-004,What is the Dynamic Range Capacity listed in the table for Helios Reader record 0004?,policy_0004_hrd-0004,product_0165_hrd-0165|product_0043_hrd-0043|product_0092_hrd-0092,0,0,table_lookup,dense_only
q-004,What is the Dynamic Range Capacity listed in the table for Helios Reader record 0004?,policy_0004_hrd-0004,policy_0004_hrd-0004|product_0086_hrd-0086|product_0092_hrd-0092,1,1,table_lookup,bm25_only
q-004,What is the Dynamic Range Capacity listed in the table for Helios Reader record 0004?,policy_0004_hrd-0004,product_0165_hrd-0165|product_0092_hrd-0092|specification_0112_hrd-0112,0,0,table_lookup,rrf_dense_bm25
