query_id,query,expected_doc_ids,retrieved_doc_ids,hit_at_1,hit_at_k,failure_mode,method
q-001,What record contains identifier AX4-0001?,product_0001_ax4-0001,operations_0141_ax4-0141|operations_0145_ax4-0145|specification_0200_ax4-0200,0,0,keyword_exact_match,qdrant_dense
q-001,What record contains identifier AX4-0001?,product_0001_ax4-0001,operations_0003_ax4-0003|product_0153_ax4-0153|specification_0200_ax4-0200,0,0,keyword_exact_match,qdrant_dense_colbert_rerank
q-002,Which specification document covers secondary node promotion for Nimbus Sensor in the apac region?,specification_0002_nsn-0002,operations_0062_nsn-0062|specification_0046_nsn-0046|product_0129_nsn-0129,0,0,semantic_paraphrase,qdrant_dense
q-002,Which specification document covers secondary node promotion for Nimbus Sensor in the apac region?,specification_0002_nsn-0002,product_0008_nsn-0008|product_0028_nsn-0028|operations_0154_nsn-0154,0,0,semantic_paraphrase,qdrant_dense_colbert_rerank
q-003,"According to the operations documentation for Atlas Gateway (Record 0003), what is the required data retention period in cold storage?",operations_0003_ax4-0003,product_0059_ax4-0059|product_0001_ax4-0001|product_0130_ax4-0130,0,0,long_context,qdrant_dense
q-003,"According to the operations documentation for Atlas Gateway (Record 0003), what is the required data retention period in cold storage?",operations_0003_ax4-0003,operations_0003_ax4-0003|product_0001_ax4-0001|operations_0141_ax4-0141,1,1,long_context,qdrant_dense_colbert_rerank
q-004,What is the Dynamic Range Capacity listed in the table for Helios Reader record 0004?,policy_0004_hrd-0004,product_0165_hrd-0165|product_0043_hrd-0043|product_0092_hrd-0092,0,0,table_lookup,qdrant_dense
q-004,What is the Dynamic Range Capacity listed in the table for Helios Reader record 0004?,policy_0004_hrd-0004,product_0092_hrd-0092|product_0043_hrd-0043|product_0135_hrd-0135,0,0,table_lookup,qdrant_dense_colbert_rerank
q-005,What record contains identifier NSN-0005?,product_0005_nsn-0005,operations_0154_nsn-0154|operations_0180_ors-0180|specification_0108_nsn-0108,0,0,keyword_exact_match,qdrant_dense
q-005,What record contains identifier NSN-0005?,product_0005_nsn-0005,product_0005_nsn-0005|operations_0062_nsn-0062|specification_0108_nsn-0108,1,1,keyword_exact_match,qdrant_dense_colbert_rerank
q-006,Which pricing document covers traffic shaping threshold for Atlas Gateway in the apac region?,pricing_0006_ax4-0006,pricing_0006_ax4-0006|pricing_0185_ax4-0185|pricing_0155_ax4-0155,1,1,semantic_paraphrase,qdrant_dense
